"x"
"Addax nasomaculatus"
"Aepyceros melampus"
"Alcelaphus buselaphus"
"Alces alces"
"Ammodorcas clarkei"
"Ammotragus lervia"
"Antidorcas marsupialis"
"Antilocapra americana"
"Antilope cervicapra"
"Arabitragus jayakari"
"Axis axis"
"Axis calamianensis"
"Axis kuhlii"
"Beatragus hunteri"
"Bison bison"
"Bos gaurus"
"Bos javanicus"
"Bos mutus"
"Boselaphus tragocamelus"
"Bubalus depressicornis"
"Bubalus mindorensis"
"Bubalus quarlesi"
"Budorcas taxicolor"
"Camelus ferus"
"Capra aegagrus"
"Capra caucasica"
"Capra cylindricornis"
"Capra falconeri"
"Capra ibex"
"Capra nubiana"
"Capra pyrenaica"
"Capra sibirica"
"Capra walie"
"Capreolus capreolus"
"Capreolus pygargus"
"Capricornis crispus"
"Capricornis rubidus"
"Capricornis sumatraensis"
"Capricornis swinhoei"
"Cephalophus adersi"
"Cephalophus callipygus"
"Cephalophus dorsalis"
"Cephalophus harveyi"
"Cephalophus jentinki"
"Cephalophus leucogaster"
"Cephalophus natalensis"
"Cephalophus niger"
"Cephalophus nigrifrons"
"Cephalophus ogilbyi"
"Cephalophus rufilatus"
"Cephalophus silvicultor"
"Cephalophus spadix"
"Cephalophus weynsi"
"Cephalophus zebra"
"Cervus albirostris"
"Cervus canadensis"
"Cervus elaphus"
"Cervus hanglu"
"Cervus nippon"
"Connochaetes gnou"
"Connochaetes taurinus"
"Dama dama"
"Dama mesopotamica"
"Damaliscus lunatus"
"Damaliscus pygargus"
"Dorcatragus megalotis"
"Elaphodus cephalophus"
"Eudorcas albonotata"
"Eudorcas rufifrons"
"Eudorcas thomsonii"
"Eudorcas tilonura"
"Gazella arabica"
"Gazella bennettii"
"Gazella cuvieri"
"Gazella dorcas"
"Gazella gazella"
"Gazella leptoceros"
"Gazella marica"
"Gazella spekei"
"Gazella subgutturosa"
"Giraffa camelopardalis"
"Hemitragus jemlahicus"
"Hippocamelus antisensis"
"Hippocamelus bisulcus"
"Hippotragus equinus"
"Hippotragus niger"
"Hyemoschus aquaticus"
"Kobus ellipsiprymnus"
"Kobus leche"
"Kobus megaceros"
"Lama guanicoe"
"Litocranius walleri"
"Madoqua guentheri"
"Madoqua kirkii"
"Madoqua piacentinii"
"Madoqua saltiana"
"Mazama americana"
"Mazama bororo"
"Mazama bricenii"
"Mazama chunyi"
"Mazama gouazoubira"
"Mazama nana"
"Mazama nemorivaga"
"Mazama pandora"
"Mazama rufina"
"Mazama temama"
"Moschus anhuiensis"
"Moschus berezovskii"
"Moschus chrysogaster"
"Moschus cupreus"
"Moschus fuscus"
"Moschus leucogaster"
"Moschus moschiferus"
"Muntiacus atherodes"
"Muntiacus crinifrons"
"Muntiacus feae"
"Muntiacus gongshanensis"
"Muntiacus montanus"
"Muntiacus muntjak"
"Muntiacus puhoatensis"
"Muntiacus putaoensis"
"Muntiacus reevesi"
"Muntiacus rooseveltorum"
"Muntiacus truongsonensis"
"Muntiacus vaginalis"
"Muntiacus vuquangensis"
"Naemorhedus baileyi"
"Naemorhedus caudatus"
"Naemorhedus goral"
"Nanger dama"
"Nanger granti"
"Nanger soemmerringii"
"Neotragus batesi"
"Neotragus pygmaeus"
"Nesotragus moschatus"
"Nilgiritragus hylocrius"
"Odocoileus hemionus"
"Odocoileus virginianus"
"Okapia johnstoni"
"Oreamnos americanus"
"Oreotragus oreotragus"
"Oryx beisa"
"Oryx gazella"
"Oryx leucoryx"
"Ourebia ourebi"
"Ovibos moschatus"
"Ovis ammon"
"Ovis canadensis"
"Ovis dalli"
"Ovis nivicola"
"Ozotoceros bezoarticus"
"Pantholops hodgsonii"
"Pelea capreolus"
"Philantomba maxwellii"
"Philantomba monticola"
"Procapra gutturosa"
"Procapra picticaudata"
"Procapra przewalskii"
"Pseudois nayaur"
"Pseudoryx nghetinhensis"
"Pudu mephistophiles"
"Pudu puda"
"Rangifer tarandus"
"Raphicerus campestris"
"Raphicerus melanotis"
"Raphicerus sharpei"
"Redunca arundinum"
"Redunca fulvorufula"
"Redunca redunca"
"Rupicapra pyrenaica"
"Rupicapra rupicapra"
"Rusa alfredi"
"Rusa marianna"
"Rusa timorensis"
"Rusa unicolor"
"Saiga tatarica"
"Sylvicapra grimmia"
"Syncerus caffer"
"Tetracerus quadricornis"
"Tragelaphus angasii"
"Tragelaphus buxtoni"
"Tragelaphus derbianus"
"Tragelaphus eurycerus"
"Tragelaphus imberbis"
"Tragelaphus oryx"
"Tragelaphus scriptus"
"Tragelaphus strepsiceros"
"Tragulus kanchil"
"Tragulus napu"
"Tragulus nigricans"
"Vicugna vicugna"
