binomial,y_2000,y_2001,y_2002,y_2003,y_2004,y_2005,y_2006,y_2007,y_2008,y_2009,y_2010,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021,y_2022,y_2023,y_2024
Addax nasomaculatus,2367261.56148498,2360335.92286845,2336332.84256659,2338922.15006267,2343209.48886877,2331389.03035436,2333151.41128412,2325525.42933713,2323360.17450217,2313649.9643282,2326445.4719293,2303707.61098664,2303991.98540224,2304339.93425577,2280440.81629551,2298658.33533459,2283735.47189246,2281375.03644172,2263773.54403609,2270151.39823073,2261176.25032408,2270159.17683323,2256142.00484365,2257795.31133316,2272944.07190757
Aepyceros melampus,47620017258.2499,47694091872.4882,47071447664.0208,47256564015.1956,47325198791.8021,47008170061.4892,47079611119.4286,46783538362.1421,46645279260.2329,46865526254.9626,46677642892.7433,46484634375.1054,46275387596.2248,46112935371.678,46018084889.6263,46206734098.4222,46054845471.0453,45990020561.6641,46031141073.1345,45701092605.2766,45831814641.5517,45663844648.6009,45708340485.1354,45731610147.7242,45615157598.5147
Alcelaphus buselaphus,18119823855.2584,18151472392.0844,18135201073.6801,18018000523.0429,18049659038.9761,18102987251.6896,17904119311.4685,17985530771.356,17809545573.6123,17881624722.0474,17756033792.214,17743784523.2849,17761072760.3574,17707728961.4446,17679039619.8726,17741196866.5573,17664766358.5747,17579342654.0574,17515087492.7971,17349607963.2528,17549003143.7711,17426164636.0467,17505956453.8253,17467792470.0074,17480748364.8079
Alces alces,220095472632.439,219239684312.2,220137300942.228,219570326773.814,218195325125.279,219233173863.874,218510905291.425,218873715763.543,216888948229.452,218369463392.108,216221839124.728,215532143759.136,216751398705.832,214621167431.586,214264046973.918,214717109194.205,212402795310.231,212831241647.442,213078361267.664,214341881656.381,213838514643.298,212997659022.896,212155720847.869,211875207141.716,212881368913.916
Ammodorcas clarkei,32435109.9822673,32035668.1028874,32339888.181199,32340713.5339321,32198275.5122287,32170824.393958,31870822.7773317,31770720.1486709,31754844.8511733,31921308.636844,31644443.4358164,31728608.1663745,31617305.5975721,31311555.1122177,31559228.3621988,31359957.2459124,31231037.7050991,31143262.4387872,30915667.8078688,31140626.2801723,30940024.6379127,30936380.1812477,30966465.3548527,30933507.9773279,30810234.2357179
Ammotragus lervia,289226684.964999,288628600.854192,289432894.549643,288231510.373754,286270030.044227,286313957.301258,286072510.112485,284904656.000491,284631856.495103,285633506.13833,282830188.512421,282733751.380014,282616514.933085,281839318.73526,282090354.893783,280840409.835666,279840739.766928,279515561.36049,279614603.077377,277924577.810399,277249490.644023,277334637.262586,275328239.498712,277343717.103349,276128829.349035
Antidorcas marsupialis,21657077031.1981,21399733632.0312,21514976267.4803,21347649417.1346,21289704860.5387,21280667688.4667,21238682325.602,21222396125.7908,21200896410.6204,21072676734.1713,21055102375.1245,21043695339.5799,20928161003.0455,21049344465.5233,20929965776.7401,20833180697.9656,20801247475.1903,20888025742.416,20830251782.7245,20596121106.7404,20819342270.0725,20697888448.3682,20641786023.2831,20616177133.4691,20620776812.0491
Antilocapra americana,13454455887.3776,13393408512.4748,13413812298.0082,13319771605.0376,13251619536.9831,13256118685.0718,13232236816.755,13289408133.882,13124854081.4173,13153931234.2325,13137592525.0686,13062828040.9406,12991189545.2784,13062613080.5509,13034461096.1983,12909670536.3071,12900563922.6742,12944417203.4041,12979136268.186,12926490490.9874,12814582491.4173,12893751419.9728,12883202909.8389,12841634409.6298,12901718415.5786
Antilope cervicapra,512022196.745628,513591108.471987,512186611.761431,514083844.580716,508913902.461457,511570411.032676,510964050.484722,511454606.01866,508630734.195533,507878880.943576,507262855.784884,500041459.793083,506501121.274192,502074177.622876,501797264.260694,504232378.55334,500542805.757685,496164039.234225,498257932.624027,496724810.717962,498309028.748941,494294286.824847,497618110.437555,493924406.168302,495111526.919327
Arabitragus jayakari,78511884.2484367,78251028.014753,78080703.3592452,77781144.3895846,77633968.0221114,77455371.108968,77284081.6813038,77224272.7647954,77114382.601836,76594521.3816179,76642175.4088048,76415616.3888929,76307681.0909632,76268252.5725977,76200148.2197687,75864821.3698007,75870957.9231598,75734190.0170701,75442564.2066267,75312816.8987476,75207630.6417336,75231473.5604496,74981480.4778944,75315454.2685026,74912635.3980167
